@relation 'UNSWNB15Train'
@attribute state {1,2,3,4,5,6,7,999}
@attribute sttl real
@attribute dttl real
@attribute djit real
@attribute swin real
@attribute dwin real
@attribute synack real
@attribute ct_state_ttl real
@attribute ct_dst_sport_ltm real
@attribute ct_src_ltm real
@attribute ct_srv_dst real
@attribute attack_cat {Normal,Fuzzers,Analysis,Backdoor,DoS,Exploits,Generic,Reconnaissance,Shellcode,Worms}
@data
2,62,252,3990.112966,255,255,0.007855,1,1,2,1,Exploits
1,254,0,0,0,0,0,2,1,1,2,Reconnaissance
2,254,252,138.796703,255,255,0.00597,1,1,1,2,Reconnaissance
2,62,252,38.104512,255,255,0.046396,1,1,2,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Fuzzers
1,254,0,0,0,0,0,2,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Reconnaissance
1,254,0,0,0,0,0,2,1,1,1,DoS
1,254,0,0,0,0,0,2,1,1,1,DoS
1,254,0,0,0,0,0,2,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Reconnaissance
2,254,252,64.570527,255,255,0.006627,1,1,1,2,Exploits
2,62,252,1901.023327,255,255,0.007573,1,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,10,37,Fuzzers
1,254,0,0,0,0,0,2,1,10,37,Fuzzers
1,254,0,0,0,0,0,2,1,14,39,Fuzzers
1,254,0,0,0,0,0,2,1,14,39,Fuzzers
1,254,0,0,0,0,0,2,1,14,39,Fuzzers
2,254,252,56.74282,255,255,0.014399,1,1,1,2,Worms
1,254,0,0,0,0,0,2,1,15,39,Fuzzers
1,254,0,0,0,0,0,2,1,15,39,Fuzzers
2,62,252,963.74767,255,255,0.022059,1,1,1,1,Exploits
2,62,252,3657.859368,255,255,0.008092,1,1,2,1,Exploits
2,62,252,53.000266,255,255,0.006186,1,1,1,1,Exploits
2,254,252,51.672477,255,255,0.02444,1,1,1,1,Exploits
2,62,252,1259.754287,255,255,0.024774,1,1,1,1,Exploits
2,254,252,53.477102,255,255,0.014034,1,1,1,1,Exploits
2,254,252,60.150297,255,255,0.007165,1,1,1,1,Exploits
2,254,252,49.642379,255,255,0.012885,1,1,1,1,Exploits
2,254,252,104.646344,255,255,0.061026,1,1,2,8,Fuzzers
2,254,252,111.775383,255,255,0.037076,1,1,3,10,Fuzzers
2,254,252,59.19782,255,255,0.055749,1,1,1,10,Fuzzers
1,254,0,0,0,0,0,2,1,2,1,Reconnaissance
2,62,252,1495.310915,255,255,0.006817,1,1,1,1,Exploits
2,254,252,51.083844,255,255,0.01217,1,1,1,1,Exploits
2,254,252,61.636449,255,255,0.006362,1,1,1,1,Reconnaissance
2,254,252,61.173434,255,255,0.006967,1,1,1,1,Exploits
1,254,0,0,0,0,0,2,2,4,2,Fuzzers
2,254,252,8014.3895,255,255,0.048388,1,2,2,4,Fuzzers
2,254,252,42.704598,255,255,0.027036,1,1,1,1,Exploits
2,254,252,69.185531,255,255,0.043266,1,1,3,1,Exploits
2,254,252,94.568094,255,255,0.068615,1,1,2,5,Fuzzers
2,254,252,102.384992,255,255,0.077597,1,1,2,5,Fuzzers
2,62,252,3627.239453,255,255,0.066051,1,1,2,2,Exploits
2,254,252,115.617203,255,255,0.065855,1,1,1,3,Fuzzers
2,254,252,168.342156,255,255,0.072879,1,1,2,4,Fuzzers
2,62,252,76.150773,255,255,0.033761,1,1,1,1,DoS
2,62,252,2104.928236,255,255,0.035025,1,1,1,1,Exploits
2,254,252,70.333898,255,255,0.057863,1,1,3,4,Fuzzers
2,254,252,79.031141,255,255,0.033275,1,1,1,4,Exploits
2,254,252,101.787672,255,255,0.053553,1,1,1,1,Exploits
2,62,252,70.619672,255,255,0.061575,1,1,1,1,Exploits
2,254,252,63.600586,255,255,0.086642,1,1,1,1,Exploits
2,62,252,60.596176,255,255,0.040255,1,1,1,1,DoS
2,62,252,2621.335193,255,255,0.074917,1,1,1,1,Exploits
2,254,252,147.049406,255,255,0.053844,1,1,1,1,Reconnaissance
2,254,252,80.817719,255,255,0.036982,1,1,1,1,Shellcode
2,254,252,53.597977,255,255,0.048052,1,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,2,1,DoS
2,62,252,2730.183603,255,255,0.036119,1,1,1,1,Exploits
2,254,252,59.201719,255,255,0.050825,1,1,1,1,DoS
1,254,0,0,0,0,0,2,1,1,1,Reconnaissance
2,254,252,156.082219,255,255,0.038226,1,1,1,2,Reconnaissance
1,254,0,0,0,0,0,2,1,2,5,Shellcode
2,254,252,35567552,255,255,0.065087,1,1,1,5,Fuzzers
2,62,252,1635.269407,255,255,0.027489,1,1,1,1,Exploits
2,62,252,2263.833746,255,255,0.03954,1,1,1,1,Exploits
2,254,252,89.661328,255,255,0.08707,1,1,1,1,Exploits
2,62,252,116.739383,255,255,0.067622,1,1,1,1,Exploits
2,62,252,3028.250477,255,255,0.066666,1,1,2,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Exploits
2,254,252,145.555609,255,255,0.057437,1,1,1,1,Shellcode
2,62,252,2971.762215,255,255,0.032155,1,1,1,1,Exploits
2,254,252,175.687578,255,255,0.040989,1,1,1,1,Reconnaissance
2,62,252,1778.419287,255,255,0.073689,1,1,2,1,Exploits
2,254,252,147.133359,255,255,0.030936,1,1,2,1,Reconnaissance
2,254,252,65.390594,255,255,0.025946,1,1,1,1,DoS
2,254,252,82.903047,255,255,0.05926,1,1,1,2,Shellcode
1,254,0,0,0,0,0,2,1,2,1,Reconnaissance
1,254,0,0,0,0,0,2,1,1,1,Reconnaissance
